Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
14.20,-4.38,11393,0.00,15.88,-33.33,65.31,-19.25,9.466666666666667
5.70,-0.70,22330,-0.57,0.53,-43.00,34.12,315.97,0.38
55.20,-0.97,880864,1.56,6.34,-18.22,17.42,2.79,0.967572304995618
1.05,-1.87,2847063,-0.15,4.76,-53.95,26.51,-3.77,0.5223880597014926
48.45,-2.32,107781,1.24,5.23,-8.06,47.13,18.49,0.9721107544141252
10.20,1.39,462869,-0.07,7.46,-33.98,29.61,2.46,0.6799999999999999
6.75,0.30,53651,-0.76,6.34,-10.68,50.00,2.20,0.8181818181818182
11.11,-2.03,99620,1.31,8.65,-38.92,10.00,-10.44,0.7662068965517241
3.21,1.45,401,0.00,12.18,-41.64,6.29,-2.36,0.2568
4.27,-4.04,54088,0.00,5.06,-34.10,39.09,-9.83,1.1386666666666665
20.59,0.59,786068,60.94,10.74,-9.26,24.41,0.64,1.0651836523538543
76.01,-1.45,1824988,1.04,2.50,-23.94,4.77,-1.77,0.8482312241937284
14.95,-0.66,423357,4.79,11.02,-12.27,18.37,-3.23,0.934375
2.76,-3.83,48285180,-2.03,13.29,-52.17,1.85,-16.76,0.6848635235732009
14.85,-0.47,1502,0.00,1.04,-3.88,37.25,2.41,1.3499999999999999
76.99,-1.28,161147,1.26,13.93,-12.29,133.16,8.43,0.9057647058823529
42.80,-1.95,39211,1.64,1.89,-4.89,89.80,-0.86,0.8997267185200756
20.73,-0.19,265920,0.07,5.74,-9.36,31.54,-2.83,0.9242086491306286
105.96,2.23,477984,0.99,18.85,-24.20,21.10,1.41,0.8119540229885057
2.18,6.34,934149,0.00,1.77,-93.81,28.99,-5.78,0.2711442786069652
13.65,-1.80,51033,0.00,14.01,-19.71,64.46,-4.66,0.5934782608695652
15.50,-2.88,1078749,0.86,9.96,-42.63,26.53,-9.98,0.7349454717875771
14.85,13.27,333321,-7.84,1.92,-7.53,51.53,9.40,0.819084390512962
1.09,0.00,423496,-15.41,19.45,-41.08,17.20,-3.19,0.38928571428571435
24.20,-1.43,360,0.00,0.00,-35.50,1.60,-1.77,45.660377358490564
7.13,0.99,974105,-24.03,5.69,-43.12,13.90,1.50,0.9344692005242464
69.8468,-0.0761,734,0.0000,3.4000,-1.6242,34.3208,1.7909,4.656453333333333
0.3001,3.0563,23301,0.0000,2.1300,-76.4146,38.4864,-1.4165,0.05966202783300198
